Class No,Rate
34814,0.5
24775,0.0
11226,0.0
26479,0.4166666666666667
25036,0.0
36990,0.2916666666666667
35389,0.0
37588,1.08
23453,0.0
17663,0.0
19120,0.0
29489,0.0
19498,0.72
23452,0.0
24616,0.64
28454,0.0
29490,0.0
29943,0.0
30434,0.25
23455,0.0
29944,0.0
36997,0.75
40920,0.0
13104,0.0
27461,1.0416666666666667
23456,0.0
29945,0.0
37016,0.5416666666666666
15950,0.0
22126,0.0
27462,0.0
23457,0.0
31349,0.0
29714,4.458333333333333
26699,0.0
29715,0.625
31160,0.0
29716,0.16666666666666666
28861,0.0
29717,0.18181818181818182
28196,0.0
29718,0.2916666666666667
28222,0.0
29719,0.13636363636363635
22222,0.0
29720,0.13636363636363635
35702,0.0
27083,0.0
13108,0.0
36235,0.0
26729,0.0
19556,0.5
23742,0.0
11227,0.0
37084,0.0
37783,0.0
32151,0.0
10834,0.8333333333333334
23743,0.0
15939,0.5
23454,0.0
34991,0.08333333333333333
25022,0.0
37760,0.25
25039,0.0
11228,0.0
11229,0.0
35225,0.0
35226,0.0
22485,1.3333333333333333
37499,0.0
32152,0.0
27463,0.0
28483,0.0
35227,0.0
36082,1.5416666666666667
30878,0.0
36083,1.0
39969,0.0
36084,0.5
28069,0.0
32153,0.0
32154,0.0
32155,0.0
27464,1.2083333333333333
28484,0.0
27402,0.0
37090,1.0
38122,0.0
32156,0.0
37106,0.7916666666666666
28485,0.0
27985,0.0
35390,0.0
27410,0.0
27411,0.0
25926,2.25
35395,0.0
25927,0.5
35397,0.0
25928,0.8333333333333334
35398,0.0
25929,0.9166666666666666
35399,0.0
27419,0.0
27420,0.0
27415,0.0
27164,0.0
27466,1.0
18023,0.0
32157,0.0
23721,0.0
35400,0.0
26957,0.0
37028,1.0
18024,0.0
32158,0.0
37094,1.2
30210,0.0
22083,0.0
37088,0.0
21034,0.0
32159,0.0
36995,0.64
30212,0.0
23376,0.0
30283,0.8
29827,0.0
32160,0.0
20441,0.0
30213,0.0
24353,0.5
30211,0.0
28522,0.75
10661,0.0
37590,0.875
10662,0.0
37672,0.625
26974,0.0
37674,0.041666666666666664
10664,0.0
37737,0.32
10663,0.0
24466,0.0
28146,0.0
26276,0.0
35015,0.0
13097,0.0
13100,0.0
13101,0.0
37118,0.4166666666666667
21958,0.0
32161,0.0
37694,0.0
22005,0.0
13103,0.0
37095,0.9583333333333334
24593,0.0
32162,0.0
37461,0.4
37526,0.0
32163,0.0
37022,0.375
17312,0.0
30147,1.2
37527,0.0
32177,0.0
36678,3.0
14492,0.0
36960,1.0
14493,0.0
36962,1.0
14494,0.0
36964,1.0
14495,0.0
32164,0.0
32165,0.0
32166,0.0
32167,0.0
36949,0.72
35401,0.0
32178,0.0
37025,0.6666666666666666
14496,0.0
32168,0.0
31129,1.0
35402,0.0
32179,0.0
36680,1.0
14497,0.0
32169,0.0
23642,0.84
35403,0.0
32180,0.0
37091,0.52
19341,0.0
32170,0.0
21980,0.16666666666666666
28453,0.0
26408,0.4583333333333333
26363,0.0
30341,0.125
26364,0.0
32171,0.0
32172,0.0
32173,0.0
37029,0.25
26365,0.0
37031,0.5833333333333334
28481,0.0
32174,0.0
32175,0.0
26792,0.7083333333333334
40028,0.0
37743,0.0
28135,0.0
16160,0.0
27048,0.0
29876,0.4166666666666667
28136,0.0
18109,0.0
22353,0.5
28319,0.0
20796,0.0
37024,0.625
29831,0.0
37693,0.32
14498,0.0
32176,0.0
38006,0.041666666666666664
37509,0.0
13823,0.0
36244,0.24
28320,0.0
13824,0.0
23575,0.84
26181,0.0
13836,0.0
23287,0.0
10670,0.0
20597,0.0
37926,0.0
26182,0.0
13856,0.0
30484,0.20833333333333334
26183,0.0
20817,0.0
27448,0.5833333333333334
11733,0.0
13450,0.041666666666666664
11734,0.0
13451,1.7083333333333333
11735,0.0
10638,0.0
16059,0.0
10639,0.0
28463,0.5416666666666666
14447,0.0
28464,0.0
14448,0.0
28465,1.7083333333333333
23729,0.0
18849,0.0
19594,0.0
20454,0.0
13452,0.3333333333333333
23730,0.0
13453,0.041666666666666664
30296,0.0
13454,1.7083333333333333
30297,0.0
20967,0.0
20968,0.0
21613,0.0
13455,0.125
30154,0.0
13456,0.08333333333333333
30156,0.0
13457,1.7083333333333333
30158,0.0
21614,0.0
22249,0.0
22810,0.0
36484,3.875
14653,0.0
36488,3.875
17514,0.0
24224,0.0
22920,0.0
21926,2.375
14693,0.0
22559,0.24
14694,0.0
21927,0.24
22361,0.0
21928,0.0
14695,0.0
21929,0.0
14696,0.0
21966,0.24
14697,0.0
21967,0.24
14698,0.0
21968,0.08
14699,0.0
21970,0.12
14700,0.0
29504,0.0
29505,0.0
29506,0.0
29507,0.0
29508,0.0
29509,0.0
37052,0.0
37053,0.0
37054,0.0
10522,3.0
19353,0.0
19216,0.0
10521,2.2083333333333335
14701,0.0
37055,0.0
19016,0.0
14654,0.0
19764,0.0
14655,0.0
23311,0.0
14656,0.0
23308,0.0
14657,0.0
21143,0.0
14658,0.0
23301,0.0
17723,0.0
23294,0.0
14659,0.0
23297,0.0
19056,0.0
22780,0.0
14660,0.0
23295,0.0
17724,0.0
23291,0.0
14661,0.0
23305,0.0
14662,0.0
23298,0.0
14663,0.0
27071,0.0
14664,0.0
26996,0.0
14665,0.0
23307,0.0
14666,0.0
21691,0.0
14667,0.0
22779,0.0
14668,0.0
23303,0.0
14669,0.0
23293,0.0
21671,0.0
19703,0.0
14670,0.0
23290,0.0
14671,0.0
23299,0.0
14672,0.0
23289,0.0
19941,0.0
23292,0.0
20961,0.0
23296,0.0
14673,0.0
23302,0.0
14674,0.0
23310,0.0
14675,0.0
23300,0.0
21018,0.0
23304,0.0
24048,0.0
23309,0.0
14676,0.0
23306,0.0
31635,0.0
24225,0.0
35999,0.0
11707,0.0
14192,0.0
26018,0.0
11708,0.0
36029,0.0
19913,0.0
24321,0.0
19081,0.0
13370,0.0
17640,0.0
37038,0.0
36332,0.0
30436,0.0
16511,0.0
18060,0.0
15827,0.0
10847,0.0
10848,0.0
10849,0.0
10850,0.0
10851,0.0
10852,0.0
10853,0.0
37430,0.0
37431,0.0
37432,0.0
37433,0.0
37434,0.0
37435,0.0
37436,0.0
13600,2.3333333333333335
14702,0.0
13601,0.32
14850,0.0
13602,0.32
14703,0.0
14008,0.24
22220,0.0
14009,0.24
24077,0.0
17516,0.32
14704,0.0
17517,0.32
23188,0.0
26761,0.24
14705,0.0
26845,0.24
14706,0.0
39038,0.0
30155,0.0
30157,0.0
30159,0.0
30161,0.0
30163,0.0
30165,0.0
30167,0.0
31142,0.0
10530,2.0
14677,0.0
37437,0.0
10531,2.3333333333333335
14707,0.0
31122,0.0
10532,2.6
14678,0.0
37438,0.0
27320,1.25
23447,0.0
38503,0.0
10523,2.4
14679,0.0
10524,0.4
14680,0.0
10525,0.4
14681,0.0
10526,0.4
21856,0.0
10527,0.4
14682,0.0
10528,0.2916666666666667
24129,0.0
10529,0.4
14683,0.0
23807,0.125
14684,0.0
37439,0.0
16926,0.0
27722,0.0
38125,0.0
38126,0.0
38127,0.0
38128,0.0
22532,0.0
27319,2.9166666666666665
14708,0.0
27729,0.0
38504,0.0
10534,4.0
23151,0.0
37338,0.0
29373,1.6
14685,0.0
36604,0.9166666666666666
14686,0.0
36605,0.24
23194,0.0
36921,0.24
14687,0.0
36922,0.20833333333333334
14688,0.0
36923,0.20833333333333334
14689,0.0
10854,0.0
27529,0.0
22499,0.0
11787,0.0
23654,0.0
29497,0.0
21174,0.8
14709,0.0
39393,0.0
10536,1.4
15028,0.0
13362,0.0
16338,1.75
14690,0.0
29498,0.0
36506,1.2222222222222223
38505,0.0
13995,0.9583333333333334
14710,0.0
29499,0.0
36521,2.8
14691,0.0
38506,0.0
21382,4.0
25195,0.0
21384,4.0
14711,0.0
29500,0.0
29501,0.0
10537,3.6
14692,0.0
38507,0.0
27322,0.4166666666666667
14712,0.0
29502,0.0
10538,1.2
15029,0.0
37257,0.0
16497,5.208333333333333
14713,0.0
29503,0.0
26325,1.3333333333333333
14998,0.0
37663,0.625
14999,0.0
37664,0.625
15000,0.0
37259,0.0
37261,0.0
37263,0.0
10540,0.0
15030,0.0
15995,0.0
15031,0.0
18863,0.0
15032,0.0
14163,0.0
15033,0.0
14154,0.0
15034,0.0
19434,0.0
15035,0.0
14157,0.0
15036,0.0
23177,0.0
15037,0.0
21559,0.0
18970,0.0
23326,0.0
15038,0.0
14156,0.0
15039,0.0
25303,0.0
15040,0.0
14161,0.0
15041,0.0
14159,0.0
19360,0.0
26967,0.041666666666666664
15042,0.0
27000,0.0
15043,0.0
14162,0.0
15770,0.0
14164,0.0
15044,0.0
19643,0.0
15045,0.0
14158,0.0
15046,0.0
19707,0.0
15047,0.0
28561,0.0
18296,0.0
14155,0.0
15048,0.0
14160,0.0
19026,0.0
18857,0.0
15049,0.0
19641,0.0
15050,0.0
19642,0.0
15051,0.0
19644,0.0
15052,0.0
23328,0.0
17727,0.0
21560,0.0
15053,0.0
23327,0.0
19361,0.0
22882,0.0
15054,0.0
22922,0.0
15055,0.0
37265,0.0
37267,0.0
37269,0.0
37271,0.0
37273,0.0
37275,0.0
37277,0.0
37279,0.0
36842,0.0
28158,0.0
37659,0.0
22217,0.0
21176,0.0
37655,0.0
30584,0.0
31551,0.0
37780,0.0
27272,0.0
27477,0.0
28035,0.0
28036,0.0
19845,0.0
37399,0.0
23808,0.0
29338,0.0
24230,0.0
25963,0.0
23229,0.0
34732,0.0
34989,0.0
23694,0.0
21172,0.0
21173,0.0
10541,0.0
15001,0.0
15996,0.041666666666666664
15002,0.0
18864,0.041666666666666664
16317,0.0
14005,0.0
15003,0.0
13996,0.0
15004,0.0
19435,0.0
15005,0.0
13999,0.041666666666666664
15006,0.0
23172,0.0
15007,0.0
21561,0.041666666666666664
15008,0.0
23331,0.0
15009,0.0
13998,0.0
15010,0.0
25298,0.041666666666666664
15011,0.0
14003,0.0
15012,0.0
14001,0.0
19351,0.0
26968,0.08333333333333333
15013,0.0
27001,0.0
15014,0.0
14004,0.0
15015,0.0
14007,0.0
21514,0.0
19645,0.08333333333333333
15016,0.0
14000,0.08333333333333333
15017,0.0
19708,0.08333333333333333
15018,0.0
14006,0.0
15019,0.0
13997,0.125
19773,0.0
14002,0.0
15020,0.0
18858,0.0
20345,0.0
31439,0.041666666666666664
15021,0.0
20347,0.0
19359,0.0
19823,0.08333333333333333
15022,0.0
19646,0.0
15023,0.0
23330,0.0
15024,0.0
22370,0.0
15025,0.0
23329,0.125
15026,0.0
22883,0.0
17100,0.0
22923,0.0
15027,0.0
13363,0.0
29681,0.0
28072,0.0
35198,0.0
35199,0.0
13518,0.0
13367,0.0
13368,0.0
20314,0.0
13371,0.0
13373,0.0
13374,0.0
13375,0.0
20265,0.0
15905,0.0
15906,0.0
20269,0.0
13365,0.0
13366,0.0
21323,0.0
21324,0.0
22515,0.0
24310,0.0
29683,0.0
27192,0.0
16835,0.0
34436,0.0
25968,0.0
34431,0.0
22440,0.0
28736,0.0
34440,0.0
35875,0.0
10798,0.0
21795,10.375
33180,0.0
30390,0.0
24587,0.2916666666666667
21995,0.0
28098,0.16666666666666666
21996,0.0
35542,0.0
35543,0.0
37676,0.125
25912,0.0
35544,0.0
22017,1.2083333333333333
25915,0.0
22018,1.2916666666666667
25916,0.0
35086,1.0416666666666667
29060,0.0
19551,0.0
19552,0.0
19553,0.0
16064,4.333333333333333
34840,0.0
16826,2.4
11394,0.0
37525,1.875
11395,0.0
19554,0.0
20150,0.0
20151,0.0
24448,1.2
11396,0.0
24318,1.2
11397,0.0
20433,0.0
20434,0.0
22386,5.791666666666667
34860,0.0
26290,1.0
34861,0.0
26370,0.5833333333333334
34862,0.0
22683,0.7083333333333334
34863,0.0
22387,0.75
34864,0.0
23675,0.75
34865,0.0
26289,0.125
34866,0.0
22388,0.8333333333333334
34867,0.0
23093,0.96
34868,0.0
36634,0.0
36635,0.0
36636,0.0
36637,0.0
36638,0.0
36639,0.0
37203,0.0
37204,0.0
37205,0.0
18525,1.5
29062,0.0
18526,2.1666666666666665
34841,0.0
20486,0.0
20487,0.0
24317,1.5
29063,0.0
24369,1.6
29064,0.0
18938,0.0
20931,0.0
30597,0.0
29065,0.0
24607,0.0
29066,0.0
30598,0.48
16798,0.0
30599,0.0
37483,0.0
24608,0.25
21764,0.0
24609,0.20833333333333334
21765,0.0
30600,0.0
21768,0.0
24610,0.0
21769,0.0
24611,0.0
21770,0.0
24612,0.20833333333333334
21818,0.0
30601,0.0
22250,0.0
24613,0.0
22251,0.0
30602,0.16666666666666666
22252,0.0
24925,0.08333333333333333
22412,0.0
20932,0.0
21200,0.0
23628,0.0
37250,0.0
37252,0.0
37254,0.0
37256,0.0
37258,0.0
37260,0.0
37262,0.0
37264,0.0
37266,0.0
37268,0.0
37270,0.0
37561,0.375
22413,0.0
37562,0.625
25108,0.0
37272,0.0
37274,0.0
26592,2.1666666666666665
25109,0.0
37276,0.0
27051,0.0
41103,0.0
37206,0.0
24703,0.8
26950,0.0
27432,0.7916666666666666
29045,0.0
28518,0.8
31190,0.0
36495,0.8
34858,0.0
37278,0.0
37280,0.0
37213,0.0
37215,0.0
