,Section,Instruction Mode,Class No,Enroll Stat,Open Seats,Wait List,Hour
3546,001 (LEC),In Person,26932,Open,120,-1,2021-11-15 06:00:00
3546,002 (LEC),In Person,15919,Open,4,10,2021-12-09 19:00:00
3547,002 (LEC),In Person,24565,Open,120,-1,2021-11-15 06:00:00
3547,010 (DIS),In Person,15922,Closed,0,3,2021-12-09 19:00:00
3548,011 (DIS),In Person,22551,Open,40,-1,2021-11-15 06:00:00
3548,011 (DIS),In Person,15920,Open,20,-1,2021-12-09 19:00:00
3549,012 (DIS),In Person,23854,Open,40,-1,2021-11-15 06:00:00
3549,012 (DIS),In Person,20754,Closed,0,6,2021-12-09 19:00:00
3550,013 (DIS),In Person,23855,Open,40,-1,2021-11-15 06:00:00
3550,013 (DIS),In Person,15921,Closed,0,9,2021-12-09 19:00:00
3551,014 (DIS),In Person,26935,Open,40,-1,2021-11-15 06:00:00
3551,001 (LEC),In Person,16720,Closed,0,4,2021-12-09 19:00:00
3552,015 (DIS),In Person,26936,Open,40,-1,2021-11-15 06:00:00
3552,002 (LEC),In Person,16721,Closed,0,15,2021-12-09 19:00:00
3553,016 (DIS),In Person,26937,Open,40,-1,2021-11-15 06:00:00
3553,001 (LEC),In Person,24447,Closed,0,1,2021-12-09 19:00:00
19254,001 (LEC),In Person,26932,Open,120,-1,2021-11-15 07:00:00
19255,002 (LEC),In Person,24565,Open,120,-1,2021-11-15 07:00:00
19256,011 (DIS),In Person,22551,Open,40,-1,2021-11-15 07:00:00
19257,012 (DIS),In Person,23854,Open,40,-1,2021-11-15 07:00:00
19258,013 (DIS),In Person,23855,Open,40,-1,2021-11-15 07:00:00
19259,014 (DIS),In Person,26935,Open,40,-1,2021-11-15 07:00:00
19260,015 (DIS),In Person,26936,Open,40,-1,2021-11-15 07:00:00
19261,016 (DIS),In Person,26937,Open,40,-1,2021-11-15 07:00:00
32848,001 (LEC),In Person,26932,Open,120,-1,2021-11-15 08:00:00
32849,002 (LEC),In Person,24565,Open,120,-1,2021-11-15 08:00:00
32850,011 (DIS),In Person,22551,Open,40,-1,2021-11-15 08:00:00
32851,012 (DIS),In Person,23854,Open,40,-1,2021-11-15 08:00:00
32852,013 (DIS),In Person,23855,Open,40,-1,2021-11-15 08:00:00
32853,014 (DIS),In Person,26935,Open,40,-1,2021-11-15 08:00:00
32854,015 (DIS),In Person,26936,Open,40,-1,2021-11-15 08:00:00
32855,016 (DIS),In Person,26937,Open,40,-1,2021-11-15 08:00:00
47780,001 (LEC),In Person,26932,Open,120,-1,2021-11-15 09:00:00
47781,002 (LEC),In Person,24565,Open,120,-1,2021-11-15 09:00:00
47782,011 (DIS),In Person,22551,Open,40,-1,2021-11-15 09:00:00
47783,012 (DIS),In Person,23854,Open,40,-1,2021-11-15 09:00:00
47784,013 (DIS),In Person,23855,Open,40,-1,2021-11-15 09:00:00
47785,014 (DIS),In Person,26935,Open,40,-1,2021-11-15 09:00:00
47786,015 (DIS),In Person,26936,Open,40,-1,2021-11-15 09:00:00
47787,016 (DIS),In Person,26937,Open,40,-1,2021-11-15 09:00:00
55350,001 (LEC),In Person,26932,Open,120,-1,2021-11-15 10:00:00
55351,002 (LEC),In Person,24565,Open,120,-1,2021-11-15 10:00:00
55352,011 (DIS),In Person,22551,Open,40,-1,2021-11-15 10:00:00
55353,012 (DIS),In Person,23854,Open,40,-1,2021-11-15 10:00:00
55354,013 (DIS),In Person,23855,Open,40,-1,2021-11-15 10:00:00
55355,014 (DIS),In Person,26935,Open,40,-1,2021-11-15 10:00:00
55356,015 (DIS),In Person,26936,Open,40,-1,2021-11-15 10:00:00
55357,016 (DIS),In Person,26937,Open,40,-1,2021-11-15 10:00:00
68567,001 (LEC),In Person,26932,Open,120,-1,2021-11-15 11:00:00
68568,002 (LEC),In Person,24565,Open,120,-1,2021-11-15 11:00:00
68569,011 (DIS),In Person,22551,Open,40,-1,2021-11-15 11:00:00
68570,012 (DIS),In Person,23854,Open,40,-1,2021-11-15 11:00:00
68571,013 (DIS),In Person,23855,Open,40,-1,2021-11-15 11:00:00
68572,014 (DIS),In Person,26935,Open,40,-1,2021-11-15 11:00:00
68573,015 (DIS),In Person,26936,Open,40,-1,2021-11-15 11:00:00
68574,016 (DIS),In Person,26937,Open,40,-1,2021-11-15 11:00:00
87329,001 (LEC),In Person,26932,Open,120,-1,2021-11-15 12:00:00
87330,002 (LEC),In Person,24565,Open,120,-1,2021-11-15 12:00:00
87331,011 (DIS),In Person,22551,Open,40,-1,2021-11-15 12:00:00
87332,012 (DIS),In Person,23854,Open,40,-1,2021-11-15 12:00:00
87333,013 (DIS),In Person,23855,Open,40,-1,2021-11-15 12:00:00
87334,014 (DIS),In Person,26935,Open,40,-1,2021-11-15 12:00:00
87335,015 (DIS),In Person,26936,Open,40,-1,2021-11-15 12:00:00
87336,016 (DIS),In Person,26937,Open,40,-1,2021-11-15 12:00:00
95175,001 (LEC),In Person,26932,Open,120,-1,2021-11-15 13:00:00
95176,002 (LEC),In Person,24565,Open,120,-1,2021-11-15 13:00:00
95177,011 (DIS),In Person,22551,Open,40,-1,2021-11-15 13:00:00
95178,012 (DIS),In Person,23854,Open,40,-1,2021-11-15 13:00:00
95179,013 (DIS),In Person,23855,Open,40,-1,2021-11-15 13:00:00
95180,014 (DIS),In Person,26935,Open,40,-1,2021-11-15 13:00:00
95181,015 (DIS),In Person,26936,Open,40,-1,2021-11-15 13:00:00
95182,016 (DIS),In Person,26937,Open,40,-1,2021-11-15 13:00:00
115133,001 (LEC),In Person,26932,Open,120,-1,2021-11-15 14:00:00
115134,002 (LEC),In Person,24565,Open,120,-1,2021-11-15 14:00:00
115135,011 (DIS),In Person,22551,Open,40,-1,2021-11-15 14:00:00
115136,012 (DIS),In Person,23854,Open,40,-1,2021-11-15 14:00:00
115137,013 (DIS),In Person,23855,Open,40,-1,2021-11-15 14:00:00
115138,014 (DIS),In Person,26935,Open,40,-1,2021-11-15 14:00:00
115139,015 (DIS),In Person,26936,Open,40,-1,2021-11-15 14:00:00
115140,016 (DIS),In Person,26937,Open,40,-1,2021-11-15 14:00:00
124206,001 (LEC),In Person,26932,Open,120,-1,2021-11-15 15:00:00
