Capacity,Available,Waitlist,PercentAvailable,Undergrad,Dept,CourseNum,StudyAbroad
36.0,6.0,2.0,0.16666666666666666,True,AAS,103,False
126.0,17.0,-1.0,0.1349206349206349,True,AAS,104,False
34.0,0.0,6.0,0.0,True,AAS,116,False
10.0,2.0,-1.0,0.2,True,AAS,126,False
48.0,17.0,-1.0,0.3541666666666667,True,AAS,200,False
32.0,6.0,-1.0,0.1875,True,AAS,201,False
62.0,27.0,-1.0,0.43548387096774194,True,AAS,202,False
40.0,20.0,-1.0,0.5,True,AAS,206,False
248.0,44.0,-1.0,0.1774193548387097,True,AAS,208,False
20.0,8.0,-1.0,0.4,True,AAS,216,False
14.0,8.0,-1.0,0.5714285714285714,True,AAS,226,False
318.0,151.0,-1.0,0.4748427672955975,True,AAS,247,False
35.0,3.0,-1.0,0.08571428571428572,True,AAS,248,False
48.0,24.0,-1.0,0.5,True,AAS,251,False
50.0,13.0,-1.0,0.26,True,AAS,261,False
30.0,1.0,-1.0,0.03333333333333333,True,AAS,271,False
25.0,0.0,4.0,0.0,True,AAS,275,False
52.0,22.0,-2.0,0.4230769230769231,True,AAS,290,False
75.0,21.0,-1.0,0.28,True,AAS,303,False
25.0,0.0,11.0,0.0,True,AAS,304,False
18.0,9.0,-1.0,0.5,True,AAS,316,False
25.0,1.0,56.0,0.04,True,AAS,317,False
30.0,0.0,8.0,0.0,True,AAS,323,False
12.0,6.0,-1.0,0.5,True,AAS,326,False
16.0,0.0,4.0,0.0,True,AAS,342,False
20.0,0.0,4.0,0.0,True,AAS,353,False
99.0,23.0,-4.0,0.23232323232323232,True,AAS,358,False
15.0,5.0,-1.0,0.3333333333333333,True,AAS,362,False
20.0,20.0,-1.0,1.0,True,AAS,367,False
25.0,1.0,-1.0,0.04,True,AAS,371,False
10.0,0.0,-1.0,0.0,True,AAS,374,False
20.0,17.0,-1.0,0.85,True,AAS,383,False
30.0,0.0,1.0,0.0,True,AAS,384,False
75.0,0.0,49.0,0.0,True,AAS,392,False
18.0,0.0,6.0,0.0,True,AAS,395,False
20.0,4.0,-1.0,0.2,True,AAS,408,False
25.0,0.0,-1.0,0.0,True,AAS,410,False
25.0,0.0,2.0,0.0,True,AAS,438,False
21.0,0.0,4.0,0.0,True,AAS,458,False
13.0,0.0,5.0,0.0,True,AAS,482,False
80.0,32.0,-3.0,0.4,True,AAS,495,False
40.0,19.0,-2.0,0.475,True,AAS,498,False
20.0,9.0,6.0,0.45,False,AAS,516,False
16.0,5.0,-1.0,0.3125,False,AAS,519,False
20.0,8.0,-1.0,0.4,False,AAS,526,False
15.0,10.0,-1.0,0.6666666666666666,False,AAS,556,False
8.0,0.0,-1.0,0.0,False,AAS,558,False
16.0,7.0,-1.0,0.4375,False,AAS,626,False
6.0,0.0,-1.0,0.0,False,AAS,629,False
21.0,0.0,4.0,0.0,False,AAS,662,False
18.0,9.0,-1.0,0.5,False,AAS,716,False
12.0,6.0,-1.0,0.5,False,AAS,726,False
30.0,14.0,-1.0,0.4666666666666667,False,AAS,892,False
82.0,35.0,-2.0,0.4268292682926829,True,AERO,102,False
86.0,43.0,-2.0,0.5,True,AERO,202,False
50.0,27.0,-2.0,0.54,True,AERO,311,False
50.0,25.0,-2.0,0.5,True,AERO,411,False
348.0,104.0,-2.0,0.2988505747126437,True,AEROSP,200,False
60.0,1.0,16.0,0.016666666666666666,True,AEROSP,205,False
75.0,0.0,2.0,0.0,True,AEROSP,215,False
60.0,7.0,-1.0,0.11666666666666667,True,AEROSP,225,False
